"origin","year","dest","Y_odt","gdp_per_capita","min_temperature","mean_temperature","max_temperature","D_od"
"ESP","1990-1995","MAR",0,4735.64745690984,-14.6294799804687,13.2243345607118,44.6177917480469,1243.63412806592
"ESP","1990-1995","SDN",0,1965.05751032076,-14.6294799804687,13.2243345607118,44.6177917480469,4215.42368032914
"ESP","1990-1995","TUN",0,6562.65165386198,-14.6294799804687,13.2243345607118,44.6177917480469,1350.76317361395
"ESP","1990-1995","ESH",0,NA,-14.6294799804687,13.2243345607118,44.6177917480469,1956.5511691459
"ESP","1990-1995","BWA",0,7514.21169672109,-14.6294799804687,13.2243345607118,44.6177917480469,7509.20505799633
"ESP","1990-1995","LSO",0,1444.21706064411,-14.6294799804687,13.2243345607118,44.6177917480469,8452.661501193
"ESP","1990-1995","NAM",0,5274.37762202704,-14.6294799804687,13.2243345607118,44.6177917480469,7277.7555468138
"ESP","1990-1995","ZAF",5,8952.17673119526,-14.6294799804687,13.2243345607118,44.6177917480469,8267.15366082411
"ESP","1990-1995","SWZ",0,7102.19966863906,-14.6294799804687,13.2243345607118,44.6177917480469,8275.79352021856
"ESP","1990-1995","BEN",0,1263.33998150812,-14.6294799804687,13.2243345607118,44.6177917480469,3467.95103133372
"ESP","1990-1995","BFA",0,1089.62879390984,-14.6294799804687,13.2243345607118,44.6177917480469,3126.27346359013
"ESP","1990-1995","CPV",11,2384.35623441757,-14.6294799804687,13.2243345607118,44.6177917480469,3417.31859119626
"ESP","1990-1995","CIV",0,2494.54680036695,-14.6294799804687,13.2243345607118,44.6177917480469,3656.10081139818
"ESP","1990-1995","GMB",0,2791.73685755711,-14.6294799804687,13.2243345607118,44.6177917480469,3206.00231528234
"ESP","1990-1995","GHA",0,2874.22329190572,-14.6294799804687,13.2243345607118,44.6177917480469,3616.71768075512
"ESP","1990-1995","GIN",14,3191.12194699737,-14.6294799804687,13.2243345607118,44.6177917480469,3408.4431688057
"ESP","1990-1995","GNB",0,1556.71196623808,-14.6294799804687,13.2243345607118,44.6177917480469,3348.63629974024
"ESP","1990-1995","LBR",18,594.876087682717,-14.6294799804687,13.2243345607118,44.6177917480469,3819.62309585732
"ESP","1990-1995","MLI",0,745.856882666653,-14.6294799804687,13.2243345607118,44.6177917480469,2569.36206137398
"ESP","1990-1995","MRT",8,3324.64103426725,-14.6294799804687,13.2243345607118,44.6177917480469,2330.94877443749
"ESP","1990-1995","NER",0,1125.21404807021,-14.6294799804687,13.2243345607118,44.6177917480469,2847.2206016457
"ESP","1990-1995","NGA",0,656.288894351171,-14.6294799804687,13.2243345607118,44.6177917480469,3615.71124127929
"ESP","1990-1995","SEN",0,2602.96586534641,-14.6294799804687,13.2243345607118,44.6177917480469,3081.63404614233
